provenance,,,,sd,,,,values,,,,lon,lat,years,days,hours
410,410,410,410,2.933914,2.933914,2.933914,2.933914,-2.24209167359251,-1.28476359678996,-0.241977927735576,-1.05010737524827,8.12367606163023,48.3369415637009,2000,1,0
410,410,410,410,2.933914,2.933914,2.933914,2.933914,1.64721700610195,2.39592295313801,3.50773556315201,2.75226813469271,9.93773984909056,50.1420673827472,2001,32,6
410,410,410,410,2.933914,2.933914,2.933914,2.933914,2.64024676380143,3.70656392379482,5.17905441764975,4.06042426255178,11.7518036365509,51.9471932017935,2002,60,12
410,410,410,410,2.933914,2.933914,2.933914,2.933914,5.51291659045509,7.63560619332131,10.6258642882528,8.66694064675244,13.5658674240112,53.7523190208398,2003,91,18
410,410,410,410,2.933914,2.933914,2.933914,2.933914,10.7468357349647,13.0170384631637,15.8035619848273,13.4788033245404,15.3799312114715,55.5574448398861,2004,121,24
410,410,410,410,2.933914,2.933914,2.933914,2.933914,13.0325243034366,15.2960157302845,18.5802839498984,16.3505170776347,,,2005,152,
410,410,410,410,2.933914,2.933914,2.933914,2.933914,11.8435618482098,13.4650781331295,15.6611484798321,14.0899750992814,,,,182,
410,410,410,410,2.933914,2.933914,2.933914,2.933914,14.6617585553725,16.7783011176465,19.7799656632326,17.6460007334937,,,,213,
410,410,410,410,2.933914,2.933914,2.933914,2.933914,11.1087663566349,12.8163172067126,15.2537701578576,13.5562455092749,,,,244,
410,410,410,410,2.933914,2.933914,2.933914,2.933914,8.07547087666495,9.43454083764428,11.1872129557414,9.77118372953484,,,,274,
410,410,410,410,2.933914,2.933914,2.933914,2.933914,3.76898601233279,4.79172183795041,5.91072562793923,4.88274120608304,,,,305,
410,410,410,410,2.933914,2.933914,2.933914,2.933914,2.01986105959037,2.45302436822519,3.04323919512723,2.34937002816335,,,,335,
410,410,410,410,2.933914,2.933914,2.933914,2.933914,-1.15450787751737,-0.453594332519316,0.689534677513251,0.0427650823506553,,,,366,
410,410,410,410,2.933914,2.933914,2.933914,2.933914,0.401818722775488,1.23753443510333,2.57899872546065,1.78120696501301,,,,,
410,410,410,410,2.933914,2.933914,2.933914,2.933914,2.97300658046299,3.92306106450249,5.30935261572643,4.5009580352006,,,,,
410,410,410,410,2.933914,2.933914,2.933914,2.933914,3.52012891865513,5.13398516931974,7.18694946181748,5.68925597219524,,,,,
410,410,410,410,2.933914,2.933914,2.933914,2.933914,10.701862322718,13.0012933596132,15.9805695802519,13.5983394561441,,,,,
410,410,410,410,2.933914,2.933914,2.933914,2.933914,10.5671945375774,12.627942482255,15.1694832440078,13.1862586092539,,,,,
410,410,410,410,2.933914,2.933914,2.933914,2.933914,14.7902597027132,16.849301067068,19.6973615357712,17.7236915078345,,,,,
410,410,410,410,2.933914,2.933914,2.933914,2.933914,15.2508023216244,17.2063035636566,20.2321908161829,18.1545176967128,,,,,
410,410,410,410,2.933914,2.933914,2.933914,2.933914,8.64711436425796,9.97901496890159,11.7376091832204,10.4135162120043,,,,,
410,410,410,410,2.933914,2.933914,2.933914,2.933914,10.3848901457591,12.0141755134874,14.1152973125363,12.3792637096216,,,,,
410,410,410,410,2.933914,2.933914,2.933914,2.933914,0.431114084409131,1.56286772938282,2.88034916952594,1.76848500963888,,,,,
410,410,410,410,2.933914,2.933914,2.933914,2.933914,-2.68632507238004,-2.32308303463159,-1.71295618036442,-2.2831803141068,,,,,
410,410,410,410,2.933914,2.933914,2.933914,2.933914,-2.11391416396467,-1.06316028568119,0.451442113090991,-0.411428070890906,,,,,
410,410,410,410,2.933914,2.933914,2.933914,2.933914,3.20809475964538,3.83459393687482,4.79584636599873,4.12344760786513,,,,,
410,410,410,410,2.933914,2.933914,2.933914,2.933914,2.43931411210113,4.22325597267289,6.68580512827745,5.00873611327881,,,,,
410,410,410,410,2.933914,2.933914,2.933914,2.933914,4.30528654788861,6.28878351448489,9.07380882712394,7.16152987480075,,,,,
410,410,410,410,2.933914,2.933914,2.933914,2.933914,9.81484058279622,11.7105270097623,14.4165754592607,12.473198082951,,,,,
410,410,410,410,2.933914,2.933914,2.933914,2.933914,14.1931861459868,16.5855240219079,19.4818669370798,17.1424829336091,,,,,
410,410,410,410,2.933914,2.933914,2.933914,2.933914,14.1821096142369,16.1130101290996,18.7277073210082,16.8502897016807,,,,,
410,410,410,410,2.933914,2.933914,2.933914,2.933914,14.6238213571076,16.3878630527456,18.8808282250843,17.0758138650701,,,,,
410,410,410,410,2.933914,2.933914,2.933914,2.933914,9.5701460495535,11.4198377965076,13.9364569348701,11.9114695106843,,,,,
410,410,410,410,2.933914,2.933914,2.933914,2.933914,6.42018440937775,7.8600431941671,9.55214846168545,8.17453540997161,,,,,
410,410,410,410,2.933914,2.933914,2.933914,2.933914,4.63731340404158,5.44102408112957,6.20732740661347,5.31672797563388,,,,,
410,410,410,410,2.933914,2.933914,2.933914,2.933914,0.0451214485362073,0.553751277568097,1.40519680679557,0.821783406909844,,,,,
410,410,410,410,2.933914,2.933914,2.933914,2.933914,-2.94449081409786,-2.35222670862925,-1.35406463296718,-2.06247374429415,,,,,
410,410,410,410,2.933914,2.933914,2.933914,2.933914,-6.341145312451,-4.46722834061109,-1.78582080335153,-3.43454938643507,,,,,
410,410,410,410,2.933914,2.933914,2.933914,2.933914,2.63917956558987,4.30315391061845,6.90938156335739,5.22538045864911,,,,,
410,410,410,410,2.933914,2.933914,2.933914,2.933914,4.09589223660834,6.33566056058382,9.65598641155916,7.5248480367656,,,,,
410,410,410,410,2.933914,2.933914,2.933914,2.933914,10.3172936281012,12.5293971146034,15.2984975272561,13.2091253211743,,,,,
410,410,410,410,2.933914,2.933914,2.933914,2.933914,15.8523700560803,18.483132021684,21.856861690509,19.2247043822086,,,,,
410,410,410,410,2.933914,2.933914,2.933914,2.933914,15.3181542000549,17.5407740608293,20.5481214430673,18.346196259677,,,,,
410,410,410,410,2.933914,2.933914,2.933914,2.933914,17.7313704936291,20.3302290468545,23.8803798063423,21.1403057973266,,,,,
410,410,410,410,2.933914,2.933914,2.933914,2.933914,10.2062862931174,12.7450607214136,16.3092501698045,13.7705014354757,,,,,
410,410,410,410,2.933914,2.933914,2.933914,2.933914,3.30402162234799,4.83755641299902,6.67029139574143,5.11662128585692,,,,,
410,410,410,410,2.933914,2.933914,2.933914,2.933914,3.83460188232038,4.66712835206104,5.95756278054694,5.08266431037168,,,,,
